Title: The refractive index of amorphous and crystalline water ice in the UV-vis 
Authors: Kofman V., He J., ten Kate I.L., Linnartz H. 
Table: Specific refraction, R(lambda), and refractive index, n(lambda) over 
    the studied temperature and wavelength range
================================================================================
Byte-by-byte Description of file: apjab0d89t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  5 F5.1   nm      lambda   wavelength, nm
   7- 12 F6.4   ---     Rl       specific refraction, R(lambda)
  14- 19 F6.4   ---   e_Rl       Uncertainty in Rl
  21- 26 F6.4   ---     nl-10K   refractive index, n(lambda), at 10 K
  28- 33 F6.4   ---     nl-30K   refractive index, n(lambda), at 30 K
  35- 40 F6.4   ---     nl-50K   refractive index, n(lambda), at 50 K
  42- 47 F6.4   ---     nl-70K   refractive index, n(lambda), at 70 K
  49- 54 F6.4   ---     nl-90K   refractive index, n(lambda), at 90 K
  56- 61 F6.4   ---     nl-110K  refractive index, n(lambda), at 110 K
  63- 68 F6.4   ---     nl-130K  refractive index, n(lambda), at 130 K
  70- 75 F6.4   ---     nl-150K  refractive index, n(lambda), at 150 K
--------------------------------------------------------------------------------
237.2 0.2391 0.0038 1.2196 1.2403 1.2612 1.2825 1.3040 1.3258 1.3479 1.3609 
237.8 0.2389 0.0037 1.2194 1.2401 1.2610 1.2822 1.3037 1.3254 1.3475 1.3605 
238.3 0.2387 0.0037 1.2192 1.2398 1.2607 1.2819 1.3034 1.3251 1.3472 1.3602 
238.9 0.2385 0.0037 1.2190 1.2396 1.2605 1.2816 1.3031 1.3248 1.3468 1.3598 
239.5 0.2383 0.0037 1.2188 1.2394 1.2602 1.2814 1.3028 1.3245 1.3465 1.3595 
240.0 0.2381 0.0036 1.2186 1.2392 1.2600 1.2811 1.3025 1.3242 1.3462 1.3591 
240.6 0.2378 0.0036 1.2184 1.2389 1.2597 1.2808 1.3022 1.3238 1.3458 1.3587 
241.2 0.2376 0.0036 1.2182 1.2387 1.2595 1.2806 1.3019 1.3235 1.3455 1.3584 
241.7 0.2374 0.0036 1.2180 1.2385 1.2593 1.2803 1.3016 1.3232 1.3452 1.3581 
242.3 0.2372 0.0035 1.2178 1.2383 1.2590 1.2800 1.3013 1.3229 1.3448 1.3577 
242.8 0.2370 0.0035 1.2176 1.2381 1.2588 1.2798 1.3011 1.3226 1.3445 1.3574 
243.4 0.2368 0.0035 1.2174 1.2378 1.2586 1.2795 1.3008 1.3223 1.3442 1.3570 
244.0 0.2366 0.0034 1.2172 1.2376 1.2583 1.2793 1.3005 1.3220 1.3439 1.3567 
244.5 0.2364 0.0034 1.2170 1.2374 1.2581 1.2790 1.3002 1.3217 1.3435 1.3564 
245.1 0.2362 0.0034 1.2168 1.2372 1.2579 1.2788 1.3000 1.3215 1.3432 1.3561 
245.7 0.2361 0.0034 1.2166 1.2370 1.2576 1.2785 1.2997 1.3212 1.3429 1.3557 
246.2 0.2359 0.0033 1.2164 1.2368 1.2574 1.2783 1.2994 1.3209 1.3426 1.3554 
246.8 0.2357 0.0033 1.2163 1.2366 1.2572 1.2781 1.2992 1.3206 1.3423 1.3551 
247.3 0.2355 0.0033 1.2161 1.2364 1.2570 1.2778 1.2989 1.3203 1.3420 1.3548 
247.9 0.2353 0.0033 1.2159 1.2362 1.2568 1.2776 1.2987 1.3200 1.3417 1.3545 
248.5 0.2351 0.0033 1.2157 1.2360 1.2566 1.2773 1.2984 1.3198 1.3414 1.3542 
249.0 0.2349 0.0032 1.2156 1.2358 1.2563 1.2771 1.2982 1.3195 1.3411 1.3539 
249.6 0.2348 0.0032 1.2154 1.2356 1.2561 1.2769 1.2979 1.3192 1.3409 1.3536 
250.1 0.2346 0.0032 1.2152 1.2354 1.2559 1.2767 1.2977 1.3190 1.3406 1.3533 
250.7 0.2344 0.0032 1.2150 1.2353 1.2557 1.2764 1.2974 1.3187 1.3403 1.3530 
251.3 0.2342 0.0031 1.2149 1.2351 1.2555 1.2762 1.2972 1.3184 1.3400 1.3527 
251.8 0.2341 0.0031 1.2147 1.2349 1.2553 1.2760 1.2970 1.3182 1.3397 1.3524 
252.4 0.2339 0.0031 1.2145 1.2347 1.2551 1.2758 1.2967 1.3179 1.3395 1.3521 
253.0 0.2337 0.0031 1.2144 1.2345 1.2549 1.2756 1.2965 1.3177 1.3392 1.3518 
253.5 0.2335 0.0030 1.2142 1.2343 1.2547 1.2753 1.2962 1.3174 1.3389 1.3515 
254.1 0.2334 0.0030 1.2140 1.2342 1.2545 1.2751 1.2960 1.3172 1.3386 1.3513 
254.6 0.2332 0.0030 1.2139 1.2340 1.2543 1.2749 1.2958 1.3169 1.3384 1.3510 
255.2 0.2330 0.0030 1.2137 1.2338 1.2541 1.2747 1.2956 1.3167 1.3381 1.3507 
255.8 0.2329 0.0030 1.2136 1.2336 1.2539 1.2745 1.2953 1.3164 1.3379 1.3504 
256.3 0.2327 0.0029 1.2134 1.2335 1.2538 1.2743 1.2951 1.3162 1.3376 1.3502 
256.9 0.2326 0.0029 1.2133 1.2333 1.2536 1.2741 1.2949 1.3160 1.3373 1.3499 
257.5 0.2324 0.0029 1.2131 1.2331 1.2534 1.2739 1.2947 1.3157 1.3371 1.3496 
258.0 0.2322 0.0029 1.2129 1.2330 1.2532 1.2737 1.2945 1.3155 1.3368 1.3494 
258.6 0.2321 0.0029 1.2128 1.2328 1.2530 1.2735 1.2942 1.3153 1.3366 1.3491 
259.1 0.2319 0.0028 1.2126 1.2326 1.2528 1.2733 1.2940 1.3150 1.3363 1.3489 
259.7 0.2318 0.0028 1.2125 1.2325 1.2527 1.2731 1.2938 1.3148 1.3361 1.3486 
260.3 0.2316 0.0028 1.2124 1.2323 1.2525 1.2729 1.2936 1.3146 1.3358 1.3484 
260.8 0.2315 0.0028 1.2122 1.2321 1.2523 1.2727 1.2934 1.3144 1.3356 1.3481 
261.4 0.2313 0.0028 1.2121 1.2320 1.2521 1.2725 1.2932 1.3141 1.3354 1.3479 
261.9 0.2312 0.0027 1.2119 1.2318 1.2520 1.2723 1.2930 1.3139 1.3351 1.3476 
262.5 0.2310 0.0027 1.2118 1.2317 1.2518 1.2722 1.2928 1.3137 1.3349 1.3474 
263.1 0.2309 0.0027 1.2116 1.2315 1.2516 1.2720 1.2926 1.3135 1.3347 1.3471 
263.6 0.2307 0.0027 1.2115 1.2314 1.2515 1.2718 1.2924 1.3133 1.3344 1.3469 
264.2 0.2306 0.0027 1.2114 1.2312 1.2513 1.2716 1.2922 1.3131 1.3342 1.3466 
264.8 0.2305 0.0027 1.2112 1.2311 1.2511 1.2714 1.2920 1.3128 1.3340 1.3464 
265.3 0.2303 0.0026 1.2111 1.2309 1.2510 1.2713 1.2918 1.3126 1.3338 1.3462 
265.9 0.2302 0.0026 1.2109 1.2308 1.2508 1.2711 1.2916 1.3124 1.3335 1.3459 
266.4 0.2300 0.0026 1.2108 1.2306 1.2506 1.2709 1.2914 1.3122 1.3333 1.3457 
267.0 0.2299 0.0026 1.2107 1.2305 1.2505 1.2707 1.2912 1.3120 1.3331 1.3455 
